Supplementary data 2 of Hayakawa et al. (2021, The Astrophysical Journal, 919, 1) 'Stephan Prantner’s Sunspot Observations during the Dalton Minimum'. The sunspot positions have been extracted from MS A07 03 07 in Stiftsarchiv Wilten.

Reference:
Hayakawa et al. (2021) Stephan Prantner’s Sunspot Observations during the Dalton Minimum, The Astrophysical Journal, DOI: 10.3847/1538-4357/abee1b

Abb. Meaning
------------------------------------------------------------------
Folio - Folio number for the said sunspot drawing;
YYYY - Year;
MM - Month;
DD - Date;
HH - Hour of the observational time in local time;
Element - arbitrary number for individual sunspots
BB - Heliographic latitude
LL - Calculated Carrington longitude
AREA - Individual sunspot area (msh)
TOYAL AREA - Total sunspot area for the day (msh)
LCM - Heliographic longitude from the central meridian.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




       Folio        YYYY          MM          DD          HH     ELEMENT          BB          LL        AREA  TOTAL_AREA         LCM
          51        1814          07          15         018         E02       -8.68      232.12          60         809         7.4
          51        1814          07          15         018         E03       -5.19      229.61          55         809         7.4
          51        1814          07          15         018         E04       -5.73      227.58         125         809         5.4
          51        1814          07          15         018         E05       -3.06      228.29          50         809         7.6
          51        1814          07          15         018         E06       -3.60      226.41          61         809         5.7
          52        1814          08          22         006         E01       -4.44       37.05         342         342       -11.9
          53        1814          08          25         007         E01       18.82      -29.81         375         375       -58.0
          54        1814          09          29         012         E01      -15.76      299.39         273         273        20.1
          55        1814          10          03         012         E01      -19.08      290.64         690        1929        59.4
          55        1814          10          03         012         E02      -19.30      299.80         804        1929        67.8
          55        1814          10          03         012         E03       24.88      176.79         435        1929       -59.5
          56        1814          12          17         012         E01      -10.17      256.72        1395        1849       -68.8
          56        1814          12          17         012         E02        4.30      369.79         407        1849        40.1
          56        1814          12          17         012         E03        5.94      366.80          47        1849        36.8
          57        1815          01          21         012         E01       15.94      227.12         379         379         5.3
          57        1815          01          22         012         E01       15.89      225.06         339         339        16.3
          57        1815          01          23         012         E01       16.44      223.83         226         226        28.1
          58        1815          02          09         013         E01       -7.47      306.69         210         712       -27.1
          58        1815          02          09         013         E02       -7.89      304.26         147         712       -29.5
          58        1815          02          09         013         E03       -7.70      301.27         355         712       -32.3
          58        1815          02          12         013         E01       -9.23      306.80         144         487         7.0
          58        1815          02          12         013         E02      -10.47      305.07          89         487         4.9
          58        1815          02          12         013         E03       -9.91      302.75         254         487         3.2
          58        1815          02          16         013         E01      -14.34      299.89         492         492        50.0
          59        1815          02          23         015         E01        4.44      180.38         348         624        29.6
          59        1815          02          23         015         E02        4.89      174.36         276         624        25.0
          59        1815          03          02         015         E01       23.31       21.21         253         253       -11.1
          59        1815          04          03         016         E01       -1.31      306.37         431         431       -38.5
          60        1815          04          10         007         E01       -3.35      301.58         453         453        35.2
          60        1815          04          25         006         E01       -2.02       20.02         199         607       -46.8
          60        1815          04          25         006         E02       -0.08       70.63         303         607         2.0
          60        1815          04          25         006         E03        7.24       71.75         105         607         1.4
          60        1815          05          09         006         E01      -18.32      231.10         348         720        -6.2
          60        1815          05          09         006         E02       -1.73      190.94         233         720       -50.2
          60        1815          05          09         006         E03       10.88      243.39         139         720        -3.3
          61        1815          06          05         006         E01       -9.31      234.92         357        2058         1.8
          61        1815          06          05         006         E02       -9.83      239.34         288        2058         4.8
          61        1815          06          05         006         E03       -7.83      242.53         320        2058         4.9
          61        1815          06          05         006         E04       32.53      266.39        1093        2058       -18.7
          62        1815          06          09         006         E01      -26.53      130.23         398        3622       -34.2
          62        1815          06          09         006         E02      -27.77      134.67         137        3622       -26.9
          62        1815          06          09         006         E03      -21.60      139.86        1515        3622       -27.8
          62        1815          06          09         006         E04      -25.88      139.53         501        3622       -23.6
