YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA UMB A
1611 10 26 16 00 1  55.8   4.4 -51.2   4.6   8.8 Q 3  9 287      schmiel    -63.7   6.8 0.048 51.0  213 !
1611 10 26 16 00 1  55.8   4.4 -40.0  15.8   5.2 Q 3 13 287      schmiel    -46.6   3.4   NaN 39.9  344 !
1611 10 26 16 00 1  55.8   4.4 -26.1  29.7 -19.7 Q 3 10 286      schmiel    -29.7 -21.2   NaN 35.2  196 !
1611 10 26 16 00 1  55.8   4.4  -5.1  50.7 -18.0 Q 3 10 286      schmiel     -9.9 -20.1   NaN 23.0  174 !
1611 10 26 16 00 1  55.8   4.4  25.4  81.2   9.2 Q 3  8 281      schmiel     26.0   8.6   NaN 25.7  117 !
1611 10 26 16 00 1  55.8   4.4  25.8  81.6   5.2 Q 3  7 281      schmiel     26.2   4.9   NaN 25.7   78 !
1611 10 26 16 00 1  55.8   4.4  35.3  91.1   6.8 Q 3  8 281      schmiel     34.8   6.0   NaN 35.2  129 !
1611 10 26 16 00 1  55.8   4.4  46.1 101.9   9.6 Q 3  8 282      schmiel      NaN   NaN   NaN 46.0  151 !
1611 10 26 16 00 1  55.8   4.4  46.0 101.8   4.5 Q 3  7 282      schmiel      NaN   NaN   NaN 45.9  101 !
1611 10 26 16 00 1  55.8   4.4  46.7 102.5   6.9 Q 3  8 282      schmiel      NaN   NaN   NaN 46.5  153 !
1611 10 26 16 00 1  55.8   4.4  58.7 114.5   9.3 Q 3  7 282      schmiel      NaN   NaN   NaN 58.4  134 !
1611 10 26 16 00 1  55.8   4.4  68.4 124.2   2.9 Q 3  6 283      schmiel      NaN   NaN   NaN 68.3  135 !
1611 10 27 09 00 1  46.4   4.4 -63.7 342.7   7.2 Q 3  8 288      schmiel    -52.8   6.8 0.049 63.4  236 !
1611 10 27 09 00 1  46.4   4.4 -45.3   1.1   2.2 Q 3 13 288      schmiel    -35.7   3.4   NaN 45.3  378 !
1611 10 27 09 00 1  46.4   4.4 -22.1  24.3 -22.9 Q 3 11 286      schmiel    -19.1 -21.2   NaN 34.8  240 !
1611 10 27 09 00 1  46.4   4.4  -2.2  44.2 -22.6 Q 3 11 286      schmiel      0.8 -20.1   NaN 27.1  221 !
1611 10 27 09 00 1  46.4   4.4  36.3  82.7   9.3 Q 3  8 281      schmiel     36.9   8.6   NaN 36.4  131 !
1611 10 27 09 00 1  46.4   4.4  35.8  82.2   5.1 Q 3  8 281      schmiel     37.1   4.9   NaN 35.7  130 !
1611 10 27 09 00 1  46.4   4.4  43.3  89.7   6.0 Q 3  8 281      schmiel     45.7   6.0   NaN 43.1  145 !
1611 10 27 09 00 1  46.4   4.4  53.1  99.5   2.9 Q 3  7 282      schmiel      NaN   NaN   NaN 53.0  118 !
1611 10 27 09 00 1  46.4   4.4  53.1  99.5   6.1 Q 3  7 282      schmiel      NaN   NaN   NaN 52.9  117 !
1611 10 27 09 00 1  46.4   4.4  65.3 111.7   4.7 Q 3  8 282      schmiel      NaN   NaN   NaN 65.1  251 !
1611 10 28 14 30 1  30.2   4.2  56.6  86.8  -6.7 H 3  6 281      pavai        NaN   NaN   NaN 57.5   80 !
1611 10 28 14 30 1  30.2   4.2  56.0  86.2  -3.5 H 3  7 281      pavai        NaN   NaN   NaN 56.5  110 !
1611 10 28 14 30 1  30.2   4.2  66.7  96.9  -4.3 H 3  9 281      pavai        NaN   NaN   NaN 67.2  298 !
1611 10 28 14 30 1  30.2   4.2  16.2  46.4 -20.8 H 3 12 286      pavai        NaN   NaN   NaN 29.7  221 !
1611 10 28 14 30 1  30.2   4.2  -5.3  24.9 -20.1 H 3 13 286      pavai        NaN   NaN   NaN 24.9  250 !
1611 10 28 14 30 1  30.2   4.2 -34.5 355.7   7.0 H 3 13 288      pavai        NaN   NaN   NaN 34.4  275 !
1611 10 28 14 30 1  30.2   4.2 -39.5 350.7  10.0 H 3  7 288      pavai        NaN   NaN   NaN 39.6   79 !
1611 10 28 14 30 1  30.2   4.2 -48.4 341.8  15.2 H 3 10 288      pavai        NaN   NaN   NaN 48.8  209 !
1611 10 28 14 30 1  30.2   4.2   9.2  39.4  14.9 H 3 12 289      pavai        NaN   NaN   NaN 14.0  198 !
1611 10 28 14 30 1  30.2   4.2   2.4  32.6  12.0 H 3  6 289      pavai        NaN   NaN   NaN  8.1   43 !
1611 10 29 08 00 1  20.6   4.2 -34.2 346.4  31.3 Q 3  9 288      schmiel    -30.2  29.1 0.080 42.0  178 !
1611 10 29 08 00 1  20.6   4.2 -25.7 354.9  16.4 Q 3  7 288      schmiel    -21.3  18.5   NaN 28.0   78 !
1611 10 29 08 00 1  20.6   4.2 -25.0 355.6  10.9 Q 3 13 288      schmiel    -20.1  13.4   NaN 25.7  288 !
1611 10 29 08 00 1  20.6   4.2  -9.3  11.3 -20.1 Q 3  9 286      schmiel     -4.1 -18.0   NaN 25.9  147 !
1611 10 29 08 00 1  20.6   4.2   7.7  28.3 -24.5 Q 3 13 286      schmiel     15.6 -22.1   NaN 29.6  299 !
1611 10 29 08 00 1  20.6   4.2   0.1  20.7  13.1 Q 3  9 289      schmiel     10.9  12.5   NaN  8.9  134 !
1611 10 29 08 00 1  20.6   4.2 -43.4 337.2   1.1 Q 3  5 290      schmiel      NaN   NaN   NaN 43.5   36 !
1611 10 29 08 00 1  20.6   4.2 -41.3 339.3   2.7 Q 3  6 290      schmiel      NaN   NaN   NaN 41.2   65 !
1611 10 29 08 00 1  20.6   4.2 -62.1 318.5 -16.9 Q 3  7 290      schmiel      NaN   NaN   NaN 64.8  163 !
1611 10 29 08 00 1  20.6   4.2 -54.5 326.1 -15.3 Q 3  7 290      schmiel      NaN   NaN   NaN 57.4  128 !
1611 10 29 08 00 1  20.6   4.2 -43.3 337.3 -15.6 Q 3  9 290      schmiel      NaN   NaN   NaN 47.2  194 !
1611 10 29 15 00 1  16.8   4.1 -19.2 357.6  29.6 Q 3  9 288      schmiel    -23.2  29.1 0.046 31.3  153 !
1611 10 29 15 00 1  16.8   4.1  -9.0   7.8  19.4 Q 3  7 288      schmiel    -14.1  18.5   NaN 17.6   72 !
1611 10 29 15 00 1  16.8   4.1  -9.1   7.7  13.6 Q 3 13 288      schmiel    -12.9  13.4   NaN 13.0  265 !
1611 10 29 15 00 1  16.8   4.1   3.8  20.6 -17.1 Q 3  8 286      schmiel      3.1 -18.0   NaN 21.6  110 !
1611 10 29 15 00 1  16.8   4.1  26.3  43.1 -18.4 Q 3 12 286      schmiel     22.6 -22.1   NaN 34.3  264 !
1611 10 29 15 00 1  16.8   4.1  15.2  32.0  12.3 Q 3  9 289      schmiel     18.1  12.5   NaN 17.1  137 !
1611 10 29 15 00 1  16.8   4.1 -19.0 357.8  -6.5 Q 3  8 291      schmiel      NaN   NaN   NaN 21.7  111 !
1611 10 29 15 00 1  16.8   4.1 -26.2 350.6 -18.6 Q 3  6 290      schmiel      NaN   NaN   NaN 34.4   59 !
1611 10 29 15 00 1  16.8   4.1 -29.8 347.0 -19.4 Q 3  9 290      schmiel      NaN   NaN   NaN 37.6  165 !
1611 10 29 15 00 1  16.8   4.1 -44.6 332.2 -20.4 Q 3  8 290      schmiel      NaN   NaN   NaN 50.2  160 !
1611 10 29 15 00 1  16.8   4.1 -51.7 325.1 -22.7 Q 3  9 290      schmiel      NaN   NaN   NaN 57.2  242 !
1611 10 30 08 00 1   7.4   4.1 -27.1 340.3  25.0 Q 3 11 288      schmiel    -28.1  30.8 0.064 33.4  233 !
1611 10 30 08 00 1   7.4   4.1 -16.0 351.4  16.7 Q 3  7 288      schmiel    -17.6  23.1   NaN 20.2   75 !
1611 10 30 08 00 1   7.4   4.1 -11.9 355.5   9.5 Q 3 13 288      schmiel    -15.6  14.7   NaN 13.0  269 !
1611 10 30 08 00 1   7.4   4.1  10.0  17.4 -26.4 Q 3  9 286      schmiel      9.8 -20.8   NaN 32.0  157 !
1611 10 30 08 00 1   7.4   4.1  28.1  35.5 -26.9 Q 3 10 286      schmiel     29.1 -19.4   NaN 41.2  212 !
1611 10 30 08 00 1   7.4   4.1   5.2  12.6  13.0 Q 3  9 289      schmiel      8.3  18.3   NaN 10.3  136 !
1611 10 30 08 00 1   7.4   4.1 -28.1 339.3  -3.2 Q 3  7 292      schmiel    -29.0  -3.9   NaN 29.0   80 !
1611 10 30 08 00 1   7.4   4.1 -20.4 347.0  -6.3 Q 3  7 292      schmiel    -19.0  -3.8   NaN 22.9   76 !
1611 10 30 08 00 1   7.4   4.1 -19.5 347.9 -27.6 Q 3  9 290      schmiel      NaN   NaN   NaN 36.8  167 !
1611 10 30 08 00 1   7.4   4.1 -30.8 336.6 -26.4 Q 3  7 290      schmiel      NaN   NaN   NaN 42.6   95 !
1611 10 30 08 00 1   7.4   4.1 -41.2 326.2 -27.1 Q 3  9 290      schmiel      NaN   NaN   NaN 50.5  210 !
1611 10 30 14 00 1   4.1   4.0 -19.1 345.0  35.6 Q 3 10 288      schmiel    -24.6  30.8 0.113 36.2  195 !
1611 10 30 14 00 1   4.1   4.0  -5.0 359.1  28.4 Q 3  9 288      schmiel    -14.1  23.1   NaN 24.8  145 !
1611 10 30 14 00 1   4.1   4.0  -3.4   0.7  18.8 Q 3 13 288      schmiel    -12.0  14.7   NaN 15.1  268 !
1611 10 30 14 00 1   4.1   4.0  21.0  25.1 -12.4 Q 3 11 286      schmiel     13.3 -20.8   NaN 26.6  215 !
1611 10 30 14 00 1   4.1   4.0  40.4  44.5 -12.3 Q 3 11 286      schmiel     32.6 -19.4   NaN 43.3  264 !
1611 10 30 14 00 1   4.1   4.0  21.7  25.8  22.4 Q 3  9 289      schmiel     11.9  18.3   NaN 27.9  149 !
1611 10 30 14 00 1   4.1   4.0 -18.2 345.9  -1.4 Q 3  8 292      schmiel    -25.4  -3.9   NaN 19.0  109 !
